Rank|Song|Total Points|Number Ones|Total Listeners
268|Poppy - Chic Chick|36.5|0|4
270|BROCKHAMPTON - DISTRICT|36.0|0|7
271|Taylor Swift - Dress|36.0|0|6
272|Carly Rae Jepsen - Roses|36.0|0|5
273|Poppy - Am I A Girl?|36.0|1|4
274|BLACKPINK - DDU-DU DDU-DU|36.0|0|4
275|Carly Rae Jepsen - Emotion|35.5|0|10
276|Takeoff - Last Memory|35.5|1|8
277|Julia Holter - Colligere|35.5|0|8
278|MØ - Mercy (feat. What So Not & Two Feet)|35.5|0|6
279|Sophie - Is It Cold In The Water?|35.5|0|5
280|P!nk - A Million Dreams|35.5|1|4
281|The 1975 - Love Me|35.5|0|4
282|Charli XCX - Backseat (feat. Carly Rae Jepsen)|35.0|0|7
283|Conan Gray - Crush Culture|35.0|0|5
284|BROCKHAMPTON - BOOGIE|35.0|0|4
285|MOMOLAND - BAAM|35.0|0|3
286|Carly Rae Jepsen - I Really Like You|34.5|0|7
286|Joji - COME THRU|34.5|0|7
288|Lady Gaga & Bradley Cooper - I Don't Know What Love Is|34.5|0|6
289|Kero Kero Bonito - Only Acting|34.5|0|5
290|Snail Mail - Heat Wave|34.5|2|4
291|Julia Holter - Whether|34.0|0|8
292|xxxtentacion - SAD!|34.0|2|6
293|Selena Gomez - Back To You|34.0|0|6
294|BROODS - Peach|34.0|0|4
295|Saba - PROM / KING|34.0|1|3
296|Julia Holter - I Shall Love 1|33.5|0|8
297|Taylor Swift - Don't Blame Me|33.5|1|6
298|LIL PEEP - Cry Alone|33.5|0|5
299|Cardi B - Bodak Yellow|33.5|0|4
299|Poppy - The Rapture Ball|33.5|0|4
299|Sophie - Ponyboy|33.5|0|4
302|Lany - malibu nights|33.5|0|3
303|Miley Cyrus - Party in The U.S.A.|33.0|0|7
304|Muse - Pressure|33.0|0|4
305|LIL UZI VERT - New Patek|33.0|1|3
306|Joji - I'LL SEE YOU IN 40|32.5|1|7
307|Taylor Swift - End Game (feat. Ed Sheeran & Future)|32.5|1|6
308|MØ & Diplo - Sun In Our Eyes|32.5|0|5
309|Kanye West - Waves|32.5|0|4
309|Powers Pleasant - Please Forgive (feat. Denzel Curry, IDK, Zombie Juice & ZillaKami)|32.5|0|4
311|RM - seoul (prod. HONNE)|32.5|0|3
311|Rosalía - Malamente|32.5|0|3
313|MØ - Trying To Be Good|32.0|0|6
314|Lady Gaga - Monster|32.0|0|5
315|Justin Bieber - Sorry|32.0|2|4
316|Grimes - Oblivion|32.0|0|3
317|Julia Holter - Turn The Light On|31.5|0|8
318|Ariana Grande - Successful|31.5|0|7
318|Janelle Monáe - Screwed (feat. Zoë Kravitz)|31.5|0|7
318|Lorde - Liability|31.5|0|7
321|Baauer - Company|31.5|0|4
321|Empress Of - I Don't Even Smoke Weed|31.5|0|4
323|Ariana Grande - blazed (feat. Pharrell Williams)|31.0|0|6
323|Avril Lavigne - Head Above Water|31.0|0|6
323|Nao - Love Supreme|31.0|0|6
326|Jess Glynne - Thursday|31.0|0|5
327|Charli XCX - I Got It (feat. Brooke Candy, CupcakKe & Pabllo Vittar)|30.5|0|7
328|Drake - Nice For What|30.5|0|6
328|Sia - Thunderclouds (with Sia, Diplo & Labrinth)|30.5|0|6
330|SunMi - Siren|30.5|0|5
330|TLC - Creep|30.5|0|5
332|Nao - A Life Like This|30.0|0|6
333|Kacey Musgraves - High Horse|30.0|1|5
334|Kacey Musgraves - Slow Burn|30.0|0|5
334|Poppy - Girls In Bikinis|30.0|0|5
336|Charli XCX - Come To My Party|30.0|0|4
337|The Aces - Holiday|30.0|0|3
337|The Weeknd - Reminder|30.0|0|3
339|Rosalía - DI MI NOMBRE (Cap.8: Éxtasis)|30.0|2|2
339|The 1975 - Robbers|30.0|2|2
341|Carly Rae Jepsen - Call Me Maybe|29.5|0|6
341|CHVRCHES - The Mother We Share|29.5|0|6
343|The Chainsmokers - Side Effects (feat. Emily Warren)|29.5|0|5
344|Tessa Violet - Crush|29.5|0|3
344|Yaeji - One More|29.5|0|3
346|Taylor Swift - So It Goes...|29.0|0|6
347|Charli XCX - Out Of My Head (feat. Tove Lo & ALMA)|29.0|0|5
347|Khalid - Vertigo|29.0|0|5
349|Twenty One Pilots - Pet Cheetah|29.0|1|4
350|5 Seconds Of Summer - Want You Back|29.0|0|4
350|The Aces - Fake Nice|29.0|0|4
350|Zedd, Maren Morris & Grey - The Middle|29.0|0|4
353|Imagine Dragons - Zero - From The Original Motion Picture "Ralph Breaks The Internet"|29.0|1|3
353|The Veronicas - Untouched|29.0|1|3
355|Louis The Child - LOVE (with Elohim)|29.0|0|3
356|Imagine Dragons - Natural|28.5|0|8
357|Dua Lipa - Lost in Your Light (feat. Miguel)|28.5|0|5
357|Nao - Don't Change|28.5|0|5
357|Twenty One Pilots - Bandito|28.5|0|5
360|Juice WRLD - Lucid Dreams|28.5|0|4
360|Kids See Ghosts - Cudi Montage|28.5|0|4
362|Flipp Dinero - Leave Me Alone|28.5|1|2
363|Charlie Puth - The Way I Am|28.5|0|2
364|Lorde - Sober|28.0|0|4
364|Seulgi - Wow Thing|28.0|0|4
366|Daft Punk - Digital Love|28.0|1|3
366|Lil Yachty - Yacht Club (feat. Juice WRLD)|28.0|1|3
366|Mura Masa & NAO - Complicated|28.0|1|3
369|Carly Rae Jepsen - LA Hallucinations|28.0|0|3
369|Empress Of - When I'm with Him|28.0|0|3
371|Kesha - Praying|27.5|0|6
371|Muna - I Know A Place|27.5|0|6
371|The Killers - Mr. Brightside|27.5|0|6
374|Lady Gaga & Bradley Cooper - Diggin' My Grave|27.5|0|5
375|TWICE - SIGNAL|27.5|1|4
