Rank|Song|Total Points|Number Ones|Total Listeners
394|Taylor Swift - You Belong with Me|25.0|1|2
394|Zayn - Entertainer|25.0|1|2
396|Alec Benjamin - Let Me Down Slowly|25.0|0|2
396|Lady Gaga - Scheiße|25.0|0|2
398|Camila Cabello - Never Be The Same|24.5|0|7
399|Halsey - Strangers|24.5|0|5
399|Kim Petras - Can't Do Better|24.5|0|5
399|Lorde - Hard Feelings/Loveless|24.5|0|5
399|The Killers - Mr. Brightside|24.5|0|5
403|Maggie Rogers - Give A Little|24.5|0|4
403|St. Vincent - Hang on Me|24.5|0|4
405|CHVRCHES - Heaven/Hell|24.5|0|3
405|Daughter - Youth|24.5|0|3
405|Jorja Smith - LOST & FOUND|24.5|0|3
405|Kim Petras - Faded|24.5|0|3
405|Poppy - In A Minute|24.5|0|3
405|Taylor Swift - Delicate (Seeb Remix)|24.5|0|3
405|Taylor Swift - Out Of The Woods|24.5|0|3
405|Trippie Redd - Dark Knight Dummo (feat. Travis Scott)|24.5|0|3
413|Mitski - I Want You|24.5|1|2
414|Taylor Swift - Dear John|24.5|0|2
414|Tyler, The Creator - OKRA|24.5|0|2
416|Betty Who - Just Thought You Should Know|24.0|0|5
417|Frank Ocean - nights|24.0|0|4
417|Kelly Clarkson - Love So Soft|24.0|0|4
417|The Chainsmokers - Closer|24.0|0|4
417|Years & Years - Up in Flames|24.0|0|4
421|Kanye West - No More Parties In LA|24.0|0|3
421|Madison Beer - Home with You|24.0|0|3
423|Amy Winehouse - Wake Up Alone|24.0|1|2
423|Cher - Super Trouper|24.0|1|2
423|Yelle - Je Veux Te Voir|24.0|1|2
426|Lily Allen - Trigger Bang (feat. Giggs)|24.0|0|2
426|LOOΠΔ / ODD EYE CIRCLE - Sweet Crazy Love|24.0|0|2
426|Sigrid - High Five|24.0|0|2
429|Janelle Monáe - Django Jane|23.5|0|6
429|Martin Garrix - Ocean (feat. Khalid)|23.5|0|6
431|Rina Sawayama - Cyber Stockholm Syndrome|23.5|0|5
432|Charlie Puth - The Way I Am|23.5|1|4
433|Eric Church - Desperate Man|23.5|0|4
433|Iglooghost - Clear Tamei|23.5|0|4
433|Lady Gaga - Bad Romance|23.5|0|4
436|Juice WRLD - Wasted (feat. Lil Uzi Vert)|23.5|0|3
436|Lana Del Rey - Groupie Love (feat. A$AP Rocky)|23.5|0|3
436|Trippie Redd - Gore|23.5|0|3
439|Bebe Rexha - 2 Souls on Fire (feat. Quavo)|23.5|0|2
439|Eden - Wake Up|23.5|0|2
439|Grimes - California|23.5|0|2
439|Mitski - Blue Light|23.5|0|2
439|NCT 127 - Chain|23.5|0|2
439|The Beths - Future Me Hates Me|23.5|0|2
445|Kids See Ghosts - Fire|23.0|0|8
446|Frank Ocean - self control|23.0|1|6
447|ABBA - Dancing Queen|23.0|0|6
447|Years & Years - If You're Over Me|23.0|0|6
449|ABBA - Mamma Mia|23.0|0|5
449|CHVRCHES - Graffiti|23.0|0|5
449|Frank Ocean - Pyramids|23.0|0|5
449|Madonna - Like a Virgin|23.0|0|5
449|Robyn - Dancing on My Own|23.0|0|5
454|Chance The Rapper - I Might Need Security|23.0|0|4
454|Elley Duhé - FEVER|23.0|0|4
454|Lykke Li - Deep End|23.0|0|4
457|Lana Del Rey - Love|23.0|0|3
457|Mitski - Pink In The Night|23.0|0|3
457|Nelly Furtado - Maneater|23.0|0|3
457|Rae Sremmurd, Swae Lee & Slim Jxmmi - Powerglide (feat. Juicy J)|23.0|0|3
461|Chelsea Jade - Laugh It Off|23.0|1|2
462|King Princess - Upper West Side|23.0|0|2
462|Lil Pump - Esskeetit|23.0|0|2
462|Louis The Child - Better Not (feat. Wafia)|23.0|0|2
462|Shawn Mendes - Fallin' All In You|23.0|0|2
466|St. Vincent - New York|22.5|1|3
467|Aly & AJ - Take Me|22.5|0|3
467|Dagny - Wearing Nothing|22.5|0|3
467|David Guetta - Dirty Sexy Money (feat. Charli XCX & French Montana)|22.5|0|3
470|5 Seconds Of Summer - Meet You There|22.5|0|2
470|Banks - Gemini Feed|22.5|0|2
470|Halsey - Colors|22.5|0|2
470|JoJo - Too Little, Too Late - Radio Version|22.5|0|2
470|Madonna - Jump|22.5|0|2
470|여자친구 - Time For The Moon Night|22.5|0|2
476|Fickle Friends - Swim|22.0|1|4
477|BROCKHAMPTON - BLEACH|22.0|0|4
477|Carly Rae Jepsen - All That|22.0|0|4
477|Childish Gambino - This Is America|22.0|0|4
480|Demi Lovato - Cool for The Summer|22.0|1|3
481|TWICE - Knock Knock|22.0|0|3
482|Kylie Minogue - I Was Gonna Cancel|22.0|1|2
483|Cher - Fernando - From "Mamma Mia! Here We Go Again"|22.0|0|2
483|Lauv - I Like Me Better|22.0|0|2
485|5 Seconds Of Summer - Talk Fast|21.5|0|4
485|Drake - Don't Matter To Me (with Michael Jackson)|21.5|0|4
485|Dua Lipa - Be The One|21.5|0|4
488|Foxing - Grand Paradise|21.5|0|3
488|Lana Del Rey - Ride|21.5|0|3
488|Mitski - Old Friend|21.5|0|3
491|Drake - Blue Tint|21.5|1|2
491|JPEGMAFIA - Real Nega|21.5|1|2
493|bazzi - Beautiful|21.5|0|2
493|Lady Gaga - Applause|21.5|0|2
493|St. Vincent - Happy Birthday, Johnny|21.5|0|2
496|Charli XCX - Backseat (feat. Carly Rae Jepsen)|21.0|0|8
497|Kali Uchis - Your Teeth In My Neck|21.0|0|6
498|Kanye West - Street Lights|21.0|1|5
499|Kanye West - Homecoming|21.0|1|3
500|Bebe Rexha - Shining Star|21.0|0|3
500|Bleachers - I Wanna Get Better|21.0|0|3
500|Panic! at The Disco - Lying Is The Most Fun a Girl Can Have Without Taking Her Clothes Off|21.0|0|3
503|City Girls - I'll Take Your Man|21.0|1|2
504|Bebe Rexha - Knees|21.0|0|2
504|Christine and The Queens - Doesn't matter|21.0|0|2
504|David Guetta - Flames|21.0|0|2
504|Hugh - This Is How It Starts|21.0|0|2
504|M¥SS KETA - UNA VITA IN CAPSLOCK|21.0|0|2
504|Post Malone - No Option|21.0|0|2
504|Taylor Swift - Everything Has Changed|21.0|0|2
504|Trippie Redd - Underwater FlyZone|21.0|0|2
512|Janelle Monáe - Pynk (feat. Grimes)|20.5|0|7
513|Kacey Musgraves - Love Is A Wild Thing|20.5|0|5
514|Britney Spears - Work B**ch|20.5|1|3
515|Bebe Rexha - Ferrari|20.5|0|3
515|Florence + The Machine - 100 Years|20.5|0|3
515|Kanye West - All Of The Lights|20.5|0|3
515|Kanye West - Black Skinhead|20.5|0|3
515|Katy Perry - Hot n Cold|20.5|0|3
