Rank|Song|Total Points|Number Ones|Total Listeners
419|T.I. - Laugh At Em|22.5|0|4
419|Tiësto & Dzeko - Jackie Chan (feat. Preme & Post Malone)|22.5|0|4
423|Blood Orange - Charcoal Baby|22.5|1|3
424|Aly & AJ - Take Me|22.5|0|3
424|Britney Spears - Gimme More|22.5|0|3
424|Lady Gaga - Million Reasons|22.5|0|3
427|jesse saint john - WHAT DO U LIKE|22.5|1|2
428|NoName - Prayer Song|22.5|0|2
428|Tinashe - Throw a Fit|22.5|0|2
430|BROCKHAMPTON - SOMETHING ABOUT HIM|22.0|0|6
430|Lady Gaga - Telephone (feat. Beyoncé)|22.0|0|6
432|Sheck Wes - Never Lost|22.0|0|5
433|Frank Ocean - Chanel|22.0|1|3
433|Sam Feldt - Heaven (Don't Have A Name) (feat. Jeremy Renner)|22.0|1|3
435|(G)I-DLE - HANN (Alone)|22.0|0|3
435|Carly Rae Jepsen - Store|22.0|0|3
435|Julia Vero - Lilac Sky|22.0|0|3
435|Lana Del Rey - Florida Kilos|22.0|0|3
435|Martin Garrix - Ocean (feat. Khalid)|22.0|0|3
435|Pusha T - If You Know You Know|22.0|0|3
435|Travis Scott - STOP TRYING TO BE GOD (feat. James Blake,|22.0|0|3
442|LAY - Give Me A Chance|22.0|1|2
443|bazzi - Honest|22.0|0|2
443|Lily Allen - The Fear|22.0|0|2
445|Drake - Nonstop|21.5|0|7
446|Courtney Barnett - Small Talk|21.5|0|5
446|Miley Cyrus - Drive|21.5|0|5
448|LOOΠΔ / ODD EYE CIRCLE - Girl Front|21.5|0|4
448|Taylor Swift - We Are Never Ever Getting Back Together|21.5|0|4
450|Billie Eilish - Bellyache|21.5|0|3
450|Clarence Clarity - Law Of Fives|21.5|0|3
450|Duckwrth - SOPRANO|21.5|0|3
450|Girls' Generation-Oh!GG - Lil' Touch|21.5|0|3
450|Lauren Alaina - Ladies In The '90s|21.5|0|3
450|Sabrina Carpenter - Almost Love|21.5|0|3
450|Sigrid - Plot Twist|21.5|0|3
450|The Japanese House - Lilo|21.5|0|3
458|Tommy Genesis - 100 Bad - Charli XCX Remix|21.5|1|2
459|Ariana Grande - raindrops (an angel cried)|21.0|0|5
459|Carly Rae Jepsen - Cut To The Feeling|21.0|0|5
461|Charli XCX - Track 10|21.0|0|4
461|Emily Warren - How It Ends|21.0|0|4
461|Natalie Prass - Short Court Style|21.0|0|4
461|Taylor Swift - State Of Grace|21.0|0|4
465|Charli XCX - White Roses|21.0|0|3
465|Travi$ Scott - CAN'T SAY|21.0|0|3
467|Alina Baraz - Feels Right|21.0|0|2
467|ESTRONS - Jade|21.0|0|2
467|Frank Ocean - White Ferrari|21.0|0|2
467|Playboi Carti - R.I.P.|21.0|0|2
467|Snail Mail - Pristine|21.0|0|2
472|Lil Baby - Off White VLONE (Lil Baby & Gunna (feat. Lil Durk & NAV))|20.5|0|6
473|Lorde - Sober|20.5|0|5
473|Tove Lo - Disco Tits|20.5|0|5
475|Charli XCX - 3am (Pull Up) (feat. MØ)|20.5|0|4
475|Kali Uchis - After The Storm (feat. Tyler, The Creator & Bootsy Collins)|20.5|0|4
475|Snail Mail - Speaking Terms|20.5|0|4
478|Frank Ocean - Bad Religion|20.5|0|3
478|Kanye West - Jesus Walks|20.5|0|3
480|BTS - Trivia 轉 : Seesaw|20.5|1|2
481|Bastille - Flaws|20.5|0|2
481|Britney Spears - ...Baby One More Time|20.5|0|2
481|BTS - Blood Sweat & Tears|20.5|0|2
481|BTS - I NEED U|20.5|0|2
481|DJ Snake - Middle|20.5|0|2
481|Janelle Monáe - Take A Byte|20.5|0|2
481|Juice WRLD - Lean Wit Me|20.5|0|2
481|Mariah Carey - All I Want for Christmas Is You|20.5|0|2
481|Pabllo Vittar - No Hablo Español|20.5|0|2
481|Playboi Carti - Shoota (feat. Lil Uzi Vert)|20.5|0|2
481|The Avalanches - Because I'm Me|20.5|0|2
492|Kim Petras - Can't Do Better|20.0|0|4
493|Allie X - Catch|20.0|0|3
493|AlunaGeorge - Champagne Eyes|20.0|0|3
493|Idles - I'm Scum|20.0|0|3
496|Britney Spears - If U Seek Amy|20.0|0|2
